type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_9465008123	9465008123_10155599410723124	https://www.facebook.com/9465008123/posts/10155599410723124	"This holiday season  give the gift of becoming a dinosaur #AmazonReview http://amzn.to/2BF4ip5"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/25550511_10155599410723124_5281298874331342478_n.jpg?oh=19535e01002f0ddf5785588df66d6249&oe=5ACB00F8	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/25531958_10155599410723124_5281298874331342478_o.jpg?oh=202fb2f01a12a13a5dbe8744ea7434b2&oe=5AD2438E	https://www.facebook.com/Amazon/photos/a.10150354146103124.344011.9465008123/10155599410723124/?type=3	facebook.com	2017-12-21T00:30:00+0000	1513816200	"2017-12-21 01:30:00"	524	273	755	228	1256	267	170	97	69	0	523	57	4	167	0	0	0
link	post_page_9465008123	9465008123_10155599277203124	https://www.facebook.com/9465008123/posts/10155599277203124	"Amazon.com shared Amazon Fire TV s post."	https://scontent.xx.fbcdn.net/v/t45.1600-4/c50.0.130.130/p130x130/25511669_23842785503810593_2956255801204801536_n.png?oh=e5d9745548f57c74df0b843acc19aca0&oe=5AB1C003	https://scontent.xx.fbcdn.net/v/t45.1600-4/25511669_23842785503810593_2956255801204801536_n.png?oh=38b049c3e721d6fc82323f19284b1b1d&oe=5AD1C573	https://medium.com/@amazonfiretv/now-you-can-browse-the-web-and-watch-online-videos-on-your-fire-tv-81ffdcb08921	medium.com	2017-12-20T23:07:18+0000	1513811238	"2017-12-21 00:07:18"	81	64	98	6	168	61	21	40	11	0	81	11	5	1	0	0	0
video	post_page_9465008123	9465008123_10155598532378124	https://www.facebook.com/9465008123/posts/10155598532378124	"Chasha Veronica was struggling to cover life’s basic needs  but thanks to Heifer International’s support she was able to change her life forever. “I am no longer a beggar. I’ve gained back my dignity.” It’s an inspiring #SeasonOfSmiles story and we are proud AmazonSmile donations are helping improve lives around the world.  To support your favorite charity (at no cost to you)  shop at smile.amazon.com."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24543027_10154885000235940_25469924864425984_n.jpg?oh=ec959e0943556dfbc72c65ba6bd71840&oe=5ACAFFD4	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24543027_10154885000235940_25469924864425984_n.jpg?oh=7ef9cd036b6e6cda3165bc6b848d0d60&oe=5AC25E6E	https://www.facebook.com/heiferinternational/videos/10154884979070940/	facebook.com	2017-12-20T17:43:18+0000	1513791798	"2017-12-20 18:43:18"	90	37	114	9	160	29	19	10	6	0	90	20	3	0	0	1	0
photo	post_page_9465008123	9465008123_10155598464328124	https://www.facebook.com/9465008123/posts/10155598464328124	"Holiday stress is real and the Zinus Memory Foam 12 Inch Green Tea Mattress  Queen can provide pressure relieving support for a better night’s sleep. Enter for a chance to win one here: http://amzn.to/2Bzvkhr"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/25443056_10155598464328124_1853704322416164181_n.jpg?oh=ca32b60344a225b01c05c5bad22e32e1&oe=5AFF2690	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/25488293_10155598464328124_1853704322416164181_o.jpg?oh=10bb18c8d2570dd45bf8b947b0aa8742&oe=5ACF307D	https://www.facebook.com/Amazon/photos/a.10150354146103124.344011.9465008123/10155598464328124/?type=3	facebook.com	2017-12-20T17:00:01+0000	1513789201	"2017-12-20 18:00:01"	204	73	225	16	314	67	36	31	21	0	202	18	3	0	0	0	0
photo	post_page_9465008123	9465008123_10155596846113124	https://www.facebook.com/9465008123/posts/10155596846113124	"The OXO Good Grips Cold Brew Coffee Maker will make a perfect brew for all your holiday guests. Enter for a chance to win one here: http://amzn.to/2ByEyud"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/25498315_10155596846113124_7855278750236688254_n.jpg?oh=863371577f306c16081096f81a2f7ab5&oe=5AB21613	https://scontent.xx.fbcdn.net/v/t1.0-9/25498315_10155596846113124_7855278750236688254_n.jpg?oh=279d3c1dbbc7409b4f4062d2160193d8&oe=5AB972B4	https://www.facebook.com/Amazon/photos/a.10150354146103124.344011.9465008123/10155596846113124/?type=3	facebook.com	2017-12-19T23:30:00+0000	1513726200	"2017-12-20 00:30:00"	233	188	265	19	472	170	74	96	38	0	232	21	8	0	0	0	0
photo	post_page_9465008123	9465008123_10155596708823124	https://www.facebook.com/9465008123/posts/10155596708823124	"Last week we welcomed retired U.S. Army Captain and Congressional Medal of Honor recipient Florent  Flo  Groberg to Amazon HQ to discuss his new book  8 Seconds of Courage: A Soldier’s Story from Immigrant to the Medal of Honor . Watch the full interview here: http://amzn.to/2CFZ23Q"	https://scontent.xx.fbcdn.net/v/t1.0-0/q81/s130x130/25446429_10155596708823124_9194656553806948361_n.jpg?oh=014b67b1c91671fd867cded7a946a950&oe=5ABAF972	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/25542740_10155596708823124_9194656553806948361_o.jpg?oh=b3d4a6a11adeb72a4f78bf685322bf39&oe=5AD1705E	https://www.facebook.com/Amazon/photos/a.10150354146103124.344011.9465008123/10155596708823124/?type=3	facebook.com	2017-12-19T22:00:02+0000	1513720802	"2017-12-19 23:00:02"	694	66	764	50	880	58	33	25	48	0	691	53	14	0	1	1	0
photo	post_page_9465008123	9465008123_10155596091128124	https://www.facebook.com/9465008123/posts/10155596091128124	"Daily travel can be difficult for people who are blind or visually impaired. With the help of Leader Dogs for the Blind  people like Greg are equipped with lifelong skills for safe and independent daily travel. This heartwarming #SeasonOfSmiles story shares how AmazonSmile donations are being used to connect guide dogs with the people who need them most.  To support your favorite charity (at no cost to you)  shop at smile.amazon.com."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/24174548_10155284072028667_851845703009859668_n.jpg?oh=e9243437ae6e9e99c51abe0c1573ee0c&oe=5AD43A57	https://scontent.xx.fbcdn.net/v/t1.0-9/24174548_10155284072028667_851845703009859668_n.jpg?oh=fa09c9c2fa9a4aa586ee95f4740d0a85&oe=5ABD013C	https://www.facebook.com/leaderdogsfortheblind/photos/a.119978848666.101663.13251298666/10155284072028667/?type=3	facebook.com	2017-12-19T17:44:36+0000	1513705476	"2017-12-19 18:44:36"	797	106	915	14	1035	85	34	51	16	0	792	109	7	0	0	0	0
video	post_page_9465008123	9465008123_10155594336258124	https://www.facebook.com/9465008123/posts/10155594336258124	"Sign up for Shipment Notifications with the Amazon App and give your tracking thumb a break: http://amzn.to/2B9n3nr"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24289922_10155594337618124_9001427428580524032_n.jpg?oh=607eda9a69bf33e6cad270ee6710ad92&oe=5ACA7F44	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24289922_10155594337618124_9001427428580524032_n.jpg?oh=4e174fcdb6971704c2324a4c105b3f8d&oe=5AD1D5B6	https://www.facebook.com/Amazon/videos/10155594336258124/	facebook.com	2017-12-19T01:00:48+0000	1513645248	"2017-12-19 02:00:48"	160	329	181	12	522	304	109	195	72	0	160	7	0	2	1	9	0
photo	post_page_9465008123	9465008123_10155594023518124	https://www.facebook.com/9465008123/posts/10155594023518124	"Traveling this holiday season? Or just love reading? The Kindle Paperwhite lasts for weeks and holds thousands of books. Check this and other On the Go tech in our Electronics Gift Guide http://amzn.to/2CA1Uz5"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/25396078_10155594023518124_7108962390448252017_n.jpg?oh=249aacda45f982f7ef780cd1b4aeab00&oe=5ABED159	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/25440131_10155594023518124_7108962390448252017_o.jpg?oh=816367b7f66b2dbc9901dd8e268cb44e&oe=5ABD8B1E	https://www.facebook.com/Amazon/photos/a.10150354146103124.344011.9465008123/10155594023518124/?type=3	facebook.com	2017-12-18T22:15:00+0000	1513635300	"2017-12-18 23:15:00"	242	123	278	10	411	110	46	64	38	0	238	32	1	1	0	0	0
video	post_page_9465008123	9465008123_10155593429408124	https://www.facebook.com/9465008123/posts/10155593429408124	"Facing cancer is hard and having to travel out-of-town for treatment can make it even harder. Today’s #SeasonOfSmiles story is from the American Cancer Society. They’re using AmazonSmile donations to help patients like Delmar  a two-time cancer survivor. They offer cancer patients and their caregivers a free place to stay near their treatment facilities so they can focus on the important things  like getting better.  To support your favorite charity (at no cost to you)  shop at smile.amazon.com."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24544691_10159707652990301_8638796905918234624_n.jpg?oh=eaa1f79d0f81fe31b317b0af885493d0&oe=5ABC9771	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24544691_10159707652990301_8638796905918234624_n.jpg?oh=4cc73dc677664e06b59ddd1af861d1b0&oe=5AD1E483	https://www.facebook.com/AmericanCancerSociety/videos/10159707629885301/	facebook.com	2017-12-18T18:02:28+0000	1513620148	"2017-12-18 19:02:28"	254	71	301	2	374	56	27	29	11	0	251	39	1	1	4	1	0
