country	18.12.2017	19.12.2017	Artýþ
BAE	22387	22393	6
Almanya	145158	145151	-7
Malezya	25695	25692	-3
Þili	18237	18236	-1
Vietnam	47448	47447	-1
Tayland	33282	33282	0
Türkiye	27039	27039	0
Endonezya	27564	27565	1
Ýran	24784	24785	1
Romanya	18578	18579	1
Çad	17142	17143	1
Gürcistan	22376	22378	2
Güney Kore	21408	21410	2
Avustralya	46799	46802	3
Çin	27756	27759	3
Ýsrail	18763	18766	3
Peru	48663	48666	3
Singapur	18265	18268	3
Ekvator	40078	40082	4
Nijerya	24250	24254	4
Kanada	76463	76468	5
Kolombiya	36210	36215	5
Hýrvatistan	55162	55167	5
Irak	45852	45857	5
Dominik Cumhuriyeti	36551	36557	6
Ýngiltere	114412	114418	6
Porto Riko	107997	108003	6
Suudi Arabistan	36681	36687	6
Venezuela	51531	51537	6
Fransa	32526	32533	7
Japonya	38861	38868	7
Paraguay	20124	20131	7
Tayvan	26297	26304	7
Arjantin	30430	30439	9
Filipinler	73984	73997	13
Pakistan	54597	54610	13
Guatemala	25490	25504	14
Brezilya	100654	100670	16
Bangladeþ	50673	50692	19
Ýspanya	40876	40895	19
Mýsýr	79552	79579	27
Hindistan	636177	636208	31
Ýtalya	81346	81383	37
Meksika	234628	234750	122
ABD	24954877	24961274	6397
SUM	27717623	27724443	6820
