type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_159616034235	159616034235_10156069860054236	https://www.facebook.com/159616034235/posts/10156069860054236	We ve all got a friend  co-worker or family member who would show up to the holiday party in an epic Ugly Christmas Suit - tag  em! 👇😂	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/23659163_1637503966310878_4917995487723466413_n.jpg?oh=0561be05febffc8d53d07e63ae9f0cab&oe=5AD31736	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/23551223_1637503966310878_4917995487723466413_o.jpg?oh=aee21ff403205dad0d5c3d57b3281fd7&oe=5ABA549C	https://www.facebook.com/Walmart954/photos/a.513624822032137.1073741825.207736665954289/1637503966310878/?type=3	facebook.com	2017-11-20T16:21:31+0000	1511194891	20.11.2017 17:21	39016	37571	70038	9	107618	36645	23936	12709	10097	0	38785	4450	2212	23849	86	58	0
video	post_page_159616034235	159616034235_10156156740419236	https://www.facebook.com/159616034235/posts/10156156740419236	This never gets old! 🎅💛	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/24518280_10155571124488248_8227898162098995200_n.jpg?oh=d0081c66528576a9994a2f49dd4b169f&oe=5ACF5BBE	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/24518280_10155571124488248_8227898162098995200_n.jpg?oh=e41f40a4f7f17cac2d6dc4a5f73d64da&oe=5AC31D4C	https://www.facebook.com/CountryLiving/videos/10155571092103248/	facebook.com	2017-12-14T21:39:56+0000	1513287596	14.12.2017 22:39	31122	1230	46564	3	47797	1172	953	219	1378	0	31051	13849	86	1440	6	3	0
photo	post_page_159616034235	159616034235_10156124293494236	https://www.facebook.com/159616034235/posts/10156124293494236	FYI: #NationalChristmasSweaterDay is on 12/15 - tag someone to share this sweater with you!	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/23844749_1761937343841013_875552079459443793_n.jpg?oh=e49c7e8689c4eddf2a85cb33f039502e&oe=5AFDA425	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/23844749_1761937343841013_875552079459443793_n.jpg?oh=f989addde4ab4807ce407ef873a7a1ca&oe=5AD323DA	https://www.facebook.com/Walmart1165/photos/a.570935402941219.1073741825.251561944878568/1761937343841013/?type=3	facebook.com	2017-12-04T19:47:35+0000	1512416855	4.12.2017 20:47	23403	60045	36346	4	96395	45558	25000	20558	13467	0	23325	2335	434	9970	28	23	0
video	post_page_159616034235	159616034235_10156131176884236	https://www.facebook.com/159616034235/posts/10156131176884236	We declare every day #BeNiceLikeNick day! #NicePeopleRock	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24134534_1419181824865252_3442457708408602624_n.jpg?oh=f9b24e2de8f4e71b6db346942270ec53&oe=5AC2698D	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24134534_1419181824865252_3442457708408602624_n.jpg?oh=9941c9443cab83e6399e428960135cb9&oe=5AB812AF	https://www.facebook.com/PicklerandBen/videos/1419170354866399/	facebook.com	2017-12-06T20:54:44+0000	1512593684	6.12.2017 21:54	14335	1378	22191	0	23569	1347	1121	226	785	0	14307	7147	252	47	316	7	0
video	post_page_159616034235	159616034235_10156041834319236	https://www.facebook.com/159616034235/posts/10156041834319236	In a neighborhood where only 4% of adults hold a college degree  Nyasha  Sharinel  Melick  Quincy  Ruddy & Keanna wanted was to go to college. Join them on their journey to #LiveBetter. #EllenSummitSeries	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/23440407_10156130674902240_7947556000192528384_n.jpg?oh=b3b518ec96de230f78a5c69bf9186926&oe=5AC9946B	https://scontent.xx.fbcdn.net/v/t15.0-10/23440407_10156130674902240_7947556000192528384_n.jpg?oh=ea1b2a49c68a8b0ef91dbb2aa8084b58&oe=5AFE2CD0	https://www.facebook.com/ellentv/videos/10156130653502240/	facebook.com	2017-11-12T14:26:05+0000	1510496765	12.11.2017 15:26	5917	465	7409	1	7875	330	226	104	610	0	5870	1193	43	38	18	105	0
photo	post_page_159616034235	159616034235_10156081666659236	https://www.facebook.com/159616034235/posts/10156081666659236	Happy Thanksgiving from our family to yours! Thankful for all the amazing people we’re surrounded by every day: our associate family and our awesome customers. Have a blessed day!	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/23795826_10156081666504236_7356232132700067770_n.jpg?oh=66fa3d0d7f69ec810d28177f03b69df6&oe=5AD04D1C	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/23795826_10156081666504236_7356232132700067770_n.jpg?oh=b710e37d6108ccf417662bbd2c08ca44&oe=5AC2BB11	https://www.facebook.com/walmart/photos/a.10153961927514236.1073742013.159616034235/10156081666504236/?type=3	facebook.com	2017-11-23T19:42:51+0000	1511466171	23.11.2017 20:42	4326	546	4752	137	5435	449	259	190	705	0	4286	192	14	55	4	23	0
video	post_page_159616034235	159616034235_10156155979659236	https://www.facebook.com/159616034235/posts/10156155979659236	If you had 60 seconds what would you put in your cart?	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24279995_10156227951097240_3613925039226748928_n.jpg?oh=86665a24c77c6140d037734e620987b9&oe=5ABFE9E1	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24279995_10156227951097240_3613925039226748928_n.jpg?oh=24ff40d9264c15f5fa92e9297111f29b&oe=5AC44413	https://www.facebook.com/ellentv/videos/10156227945617240/	facebook.com	2017-12-14T16:14:20+0000	1513268060	14.12.2017 17:14	3132	669	4428	0	5097	648	552	96	189	0	3122	1008	225	38	6	3	0
video	post_page_159616034235	159616034235_10156056622239236	https://www.facebook.com/159616034235/posts/10156056622239236	Seeing Americans pull together to donate time  supplies  food & more to their neighbors made us so proud to be a part of helping families in need in the wake of Hurricane Harvey. We are all #BetterTogether.💛	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23557361_10156056637864236_2960003490883043328_n.jpg?oh=39a9f7d20fb3da0e945c1aeec4ca04cb&oe=5AD0C0DF	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/23557361_10156056637864236_2960003490883043328_n.jpg?oh=0c2476fd5da119a58a97775231b729c7&oe=5AFE8D2D	https://www.facebook.com/walmart/videos/10156056622239236/	facebook.com	2017-11-16T18:19:09+0000	1510856349	16.11.2017 19:19	3116	278	3543	318	4139	201	127	74	246	0	3084	301	35	8	3	4	0
photo	post_page_159616034235	159616034235_10156118143884236	https://www.facebook.com/159616034235/posts/10156118143884236	We have all the ingredients to throw holiday #PartiesThatRock! 🎸Join the party at your local Walmart store: today from 1 to 4 p.m. Find more entertaining inspiration at walmart.com/holidaymeals	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/24231748_10156118143744236_3598101420735885022_n.jpg?oh=40dd935c89506e5c4fc38697816f9306&oe=5AC98A7E	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/24231748_10156118143744236_3598101420735885022_n.jpg?oh=1c3554088b557ce35778041bbe2ca572&oe=5ABEE673	https://www.facebook.com/walmart/photos/a.10153961927514236.1073742013.159616034235/10156118143744236/?type=3	facebook.com	2017-12-02T19:30:18+0000	1512243018	2.12.2017 20:30	2116	352	2346	137	2835	188	99	89	375	0	2093	97	15	9	2	35	0
photo	post_page_159616034235	159616034235_10156160428139236	https://www.facebook.com/159616034235/posts/10156160428139236	Gifts 🎁 on gifts 🎁 on gifts 🎁. We’ll help you keep on giving! Stop in to your Walmart tomorrow from 1–4 p.m. when our Holiday Helpers will be showing off 🔥 gifts of the season. #RockThisChristmas	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/25289750_10156160428139236_359816521499401907_n.jpg?oh=06f9ffd75fceadf7494d95035d08eac5&oe=5AC74CF1	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/25398201_10156160428139236_359816521499401907_o.jpg?oh=3b8e218b56ec73975d1175adfafec0d3&oe=5AB1BC2A	https://www.facebook.com/walmart/photos/a.385715789235.163710.159616034235/10156160428139236/?type=3	facebook.com	2017-12-15T22:31:04+0000	1513377064	15.12.2017 23:31	1962	197	2118	126	2441	171	100	71	162	0	1951	81	25	12	4	1	0
