country	18.12.2017	19.12.2017	
Cezayir	21141	21136	-5
Suudi Arabistan	26148	26143	-5
Ekvator	22635	22632	-3
Irak	14504	14501	-3
Ýran	58646	58643	-3
Japonya	20477	20474	-3
Romanya	15991	15988	-3
Almanya	41052	41050	-2
Þili	21740	21739	-1
Endonezya	44564	44563	-1
Türkiye	18351	18350	-1
Avustralya	34313	34313	0
Gana	17624	17624	0
Dominik Cumhuriyeti	32290	32291	1
Ýtalya	37353	37354	1
Malezya	25023	25024	1
Nijerya	45914	45915	1
Venezuela	17131	17132	1
Peru	31752	31754	2
Ýspanya	18645	18648	3
Fransa	34528	34531	3
Ýngiltere	73679	73682	3
Jamaika	19952	19955	3
Filipinler	81194	81197	3
Trinidad&Tobago	18049	18052	3
Vietnam	28295	28298	3
Kanada	310855	310859	4
Mýsýr	30251	30255	4
Tayland	17315	17319	4
BAE	14562	14567	5
Kolombiya	24330	24335	5
Honduras	25578	25583	5
Çin	20687	20693	6
Pakistan	51300	51306	6
Tayvan	15954	15960	6
El Salvador	40572	40579	7
Bangladeþ	28189	28197	8
Hindistan	130513	130525	12
Guatemala	38557	38575	18
Arjantin	79083	79111	28
Hýrvatistan	32836	32869	33
Porto Riko	252959	252995	36
Brezilya	140768	140813	45
Meksika	812764	812844	80
ABD	30413286	30420647	7361
SUM	33301350	33309021	7671
